,art_id,to_pick,weight,volume,tour_id,box_position_on_cart,box_type,order_time_sec,num_cluster
7835,432202,1,0.271,496.51,210274,3,2,1.6665100000000002,1
7836,4728,1,2.066,1737.68,210274,3,2,4.276661,1
7837,250899,1,0.07200000000000001,211.6,210274,3,2,3.658001,1
7838,46210,1,0.56,915.2,210274,3,2,2.257832,1
7839,321152,1,0.28,840.84,210274,3,2,2.463667,1
7840,847019,1,1.2,2575.0,210274,3,2,6.471815,1
7841,435181,1,0.98,2873.56,210274,3,2,3.053421,1
7842,321120,1,0.28,840.84,210274,3,2,2.643031,1
7843,46459,2,0.08,840.0,210274,3,2,9.789487000000001,1
7844,457767,1,0.773,3949.56,210274,3,2,4.073778,1
7845,103647,1,0.528,1805.44,210274,3,2,1.0165060000000001,1
7846,358734,2,2.67,16871.05,210274,3,2,21.972332,4
7847,746105,1,0.34600000000000003,498.4,210274,3,2,1.670843,1
7848,571423,2,0.34600000000000003,498.4,210274,3,2,10.203268000000001,1
7849,455798,1,0.51,1001.95,210274,3,2,17.613322,1
7850,395712,1,0.15,1560.0,210274,3,2,2.2017930000000003,1
7851,369482,1,0.17,349.92,210274,3,2,1.938765,1
7852,245346,2,0.348,498.4,210274,3,2,6.137345000000001,1
7853,15314,1,0.018000000000000002,42.23,210274,3,2,2.898733,1
7854,39152,1,0.325,2351.52,210274,3,2,1.6542610000000002,1
7855,418028,2,1.3130000000000002,2319.9,210274,3,2,9.966589,1
7856,846835,1,0.21899999999999997,717.75,210274,3,2,2.4255400000000003,1
7857,447163,2,0.348,498.4,210274,3,2,6.097613,1
7858,518764,1,0.55,593.34,210170,3,2,3.411699,1
7859,654274,1,0.077,480.0,210170,3,2,3.9922690000000003,1
7860,542071,1,0.5,1260.0,210170,3,2,4.609787,1
7861,599030,1,0.289,750.75,210170,3,2,4.2291,1
7862,476731,1,0.077,720.0,210170,3,2,14.718806,1
7863,654272,1,0.053,480.0,210170,3,2,6.398085,1
7864,610655,1,0.067,90.0,210170,3,2,5.194998,1
7865,253173,2,0.179,476.0,210170,3,2,10.166080000000001,1
7866,826894,2,0.135,374.63,210170,3,2,10.079292,1
7867,358734,2,2.67,16871.05,210170,3,2,44.060803,4
7868,599031,1,0.231,673.75,210170,3,2,4.0700650000000005,1
7869,275727,1,0.33,710.5,210170,3,2,5.027005,1
7870,599399,1,5.249,20763.6,210170,3,2,10.854071000000001,4
7871,620948,1,0.042,327.52,210170,3,2,3.3911110000000004,1
7872,599399,1,5.249,20763.6,210131,4,2,12.959616,4
7873,630692,2,0.107,468.72,210131,4,2,6.451466000000001,1
7874,594413,1,0.1,208.0,210131,4,2,4.015671,1
7875,202877,4,0.262,311.36,210131,4,2,27.710306000000003,1
7876,415270,2,0.107,377.26,210131,4,2,20.408367000000002,1
7877,542071,2,0.5,1260.0,210131,4,2,23.20362,1
7878,545643,2,0.107,468.72,210131,4,2,11.825993,1
7879,321159,1,0.28,840.84,210131,4,2,4.529769,1
7880,314243,1,0.28,840.84,210131,4,2,5.2600940000000005,1
7881,144334,1,0.071,203.28,210131,4,2,2.991279,1
